conformer_id,relax_success,relax_method,ff_energy,error
0,True,MMFF94,2.9317145722481004,
1,True,MMFF94,2.9317145740029793,
2,True,MMFF94,2.931714572362051,
3,True,MMFF94,2.931714575548812,
4,True,MMFF94,2.9317145722768867,
5,True,MMFF94,2.93171457232359,
6,True,MMFF94,2.9317145723823783,
7,True,MMFF94,2.9317145723424742,
8,True,MMFF94,2.931714572569366,
9,True,MMFF94,2.931714572463075,
10,True,MMFF94,2.9317145727285103,
11,True,MMFF94,2.9317145729678478,
12,True,MMFF94,2.931714572342132,
13,True,MMFF94,2.931714572276533,
14,True,MMFF94,2.931714572353276,
15,True,MMFF94,2.9317145726628553,
16,True,MMFF94,2.931714572527161,
17,True,MMFF94,2.9317145722615794,
18,True,MMFF94,2.931714573203484,
19,True,MMFF94,2.931714573846924,
