conformer_id,relax_success,relax_method,ff_energy,error
0,True,MMFF94,0.25383209892879954,
1,True,MMFF94,0.253832099140368,
2,True,MMFF94,0.2538320987263212,
3,True,MMFF94,0.253832098728597,
4,True,MMFF94,0.2538321023478361,
5,True,MMFF94,0.2538321028745446,
6,True,MMFF94,0.25383209956202607,
7,True,MMFF94,0.2538320988286531,
8,True,MMFF94,0.2538320991372868,
9,True,MMFF94,0.25383209874843554,
10,True,MMFF94,0.2538320987186615,
11,True,MMFF94,0.25383209881313706,
12,True,MMFF94,0.25383209871755713,
13,True,MMFF94,0.25383209872179097,
14,True,MMFF94,0.25383209872610335,
15,True,MMFF94,0.25383209873063534,
16,True,MMFF94,0.25383209872076506,
17,True,MMFF94,0.253832099489026,
18,True,MMFF94,0.25383209875614043,
19,True,MMFF94,0.253832098864841,
