conformer_id,relax_success,relax_method,ff_energy,error
0,True,MMFF94,-0.1378872851963574,
1,True,MMFF94,-0.1378872853699249,
2,True,MMFF94,-0.13788728452233467,
3,True,MMFF94,-0.13788728549089535,
4,True,MMFF94,-0.13788728528845967,
5,True,MMFF94,-0.13788728489368407,
6,True,MMFF94,-0.1378872854253736,
7,True,MMFF94,-0.13788728547332463,
8,True,MMFF94,-0.13788728548768342,
9,True,MMFF94,-0.13788724404109992,
10,True,MMFF94,-0.13788728524200916,
11,True,MMFF94,-0.13788728549138252,
12,True,MMFF94,-0.13788728297115072,
13,True,MMFF94,-0.13788728548639723,
14,True,MMFF94,-0.13788728545233936,
15,True,MMFF94,-0.13788728510332005,
16,True,MMFF94,-0.13788728456667526,
17,True,MMFF94,-0.13788728537980854,
18,True,MMFF94,-0.1378872850180713,
19,True,MMFF94,-0.13788728546823076,
