E_elec_eV,H_eV,S_eV_per_K,TS_eV,G_eV,thermal_corr_eV,ZPE_eV,n_vib_modes,n_imag_freqs,geometry_model,symmetrynumber,temperature_K,pressure_Pa,E_elec_hartree,H_hartree,G_hartree,E_elec_kcal_mol,H_kcal_mol,TS_kcal_mol,thermal_corr_kcal_mol,G_kcal_mol,ZPE_kcal_mol,species_id,conformer_id
-300.395648695217,-298.573011887087,0.0027331205087165055,0.814879879673826,-299.3878917667608,1.822636808130028,1.6926678342192336,24,4,nonlinear,1,298.15,101325.0,-11.039336474065404,-10.972355806794226,-11.002302090026818,-6927.288224845883,-6885.257221554153,18.791576441427345,42.031003291729306,-6904.048797995581,39.03384755236296,SP000005,0
-300.39564828496276,-298.5729555861818,0.0027330676457086476,0.8148641185680332,-299.38781970474986,1.8226926987809406,1.692808202718274,24,3,nonlinear,1,298.15,101325.0,-11.039336458988839,-10.972353737774124,-11.002299441796762,-6927.288215385195,-6885.255923224437,18.791212981693345,42.03229216075796,-6904.047136206131,39.03708452684899,SP000005,1
-300.39564865247024,-298.57294853163796,0.002732993316126719,0.8148419572031812,-299.3877904888411,1.8227001208322804,1.6928482744088629,24,3,nonlinear,1,298.15,101325.0,-11.03933647249449,-10.97235347852442,-11.00229836813192,-6927.288223860119,-6885.255760542791,18.790701928479184,42.03246331732789,-6904.0464624712695,39.03800860198647,SP000005,2
-300.39564877359356,-298.57294846745174,0.0027330118382467173,0.8148474795732586,-299.387795947025,1.8227003061418259,1.6928209464686663,24,3,nonlinear,1,298.15,101325.0,-11.03933647694569,-10.972353476165619,-11.002298568716476,-6927.288226653289,-6885.255759062621,18.790829277358494,42.03246759066752,-6904.046588339979,39.03737840471445,SP000005,3
-300.39564905175956,-298.57302119363123,0.002733210563668838,0.814906729557864,-299.3879279231891,1.8226278581283282,1.692631480492897,24,3,nonlinear,1,298.15,101325.0,-11.039336487168102,-10.97235614880342,-11.002303418751053,-6927.2882330679495,-6885.257436168162,18.79219561446245,42.03079689978703,-6904.0496317826255,39.03300921551795,SP000005,4
-300.3956483167595,-298.57288052980306,0.002732948353707137,0.8148285516577829,-299.38770908146086,1.8227677869564332,1.6929017626384255,24,3,nonlinear,1,298.15,101325.0,-11.039336460157347,-10.97235097950308,-11.002295376465876,-6927.288216118445,-6885.254192383224,18.79039278925833,42.03402373522042,-6904.0445851724835,39.039242069862674,SP000005,5
