E_elec_eV,H_eV,S_eV_per_K,TS_eV,G_eV,thermal_corr_eV,ZPE_eV,n_vib_modes,n_imag_freqs,geometry_model,symmetrynumber,temperature_K,pressure_Pa,E_elec_hartree,H_hartree,G_hartree,E_elec_kcal_mol,H_kcal_mol,TS_kcal_mol,thermal_corr_kcal_mol,G_kcal_mol,ZPE_kcal_mol,species_id,conformer_id
-310.0551116035329,-307.7876603336724,0.002797671382931458,0.8341257228210142,-308.6217860564934,2.267451269860487,2.1257959357555234,27,4,nonlinear,1,298.15,101325.0,-11.394315188526894,-11.310987891293195,-11.341641446216144,-7150.0407312611915,-7097.752062798976,19.235396127863666,52.28866846221562,-7116.987458926839,49.022018854625784,SP000004,0
-310.05511084270023,-307.787387090632,0.0027974130976052215,0.8340487150509968,-308.621435805683,2.267723752068207,2.126182195714932,27,4,nonlinear,1,298.15,101325.0,-11.39431516056681,-11.31097784979667,-11.34162857473627,-7150.040713715974,-7097.745761664773,19.233620286499853,52.294952051199736,-7116.979381951273,49.03092622089478,SP000004,1
-310.0551116842016,-307.787540792871,0.002797332608693411,0.8340247172819404,-308.62156551015295,2.2675708913305925,2.125949143938459,27,4,nonlinear,1,298.15,101325.0,-11.394315191491415,-11.31098349824977,-11.341633341287624,-7150.0407331214565,-7097.749306122608,19.2330668847987,52.29142699884856,-7116.982373007406,49.02555191925641,SP000004,2
-310.05511131539834,-307.7871473448089,0.002796671010493788,0.8338274617787228,-308.6209748065876,2.2679639705894488,2.1267711860151497,27,4,nonlinear,1,298.15,101325.0,-11.394315177938145,-11.310969039300176,-11.34161163333199,-7150.040724616651,-7097.740232994752,19.2285180648319,52.30049162189863,-7116.968751059583,49.04450865988472,SP000004,3
-309.98783335205627,-307.72327812151974,0.0028131327158196196,0.8387355192216195,-308.5620136407414,2.26455523053653,2.120929067912867,27,3,nonlinear,1,298.15,101325.0,-11.391842758387966,-11.308621888636415,-11.339444850452455,-7148.4892579250545,-7096.267373716189,19.341700558249244,52.22188420886615,-7115.609074274438,48.90978621595491,SP000004,4
-310.055111815979,-307.7874284168919,0.0027974719085740005,0.8340662495413382,-308.62149466643325,2.2676833990871046,2.1263786692641005,27,4,nonlinear,1,298.15,101325.0,-11.394315196334144,-11.310979368508708,-11.341630737828945,-7150.040736160315,-7097.746714670966,19.234024641453058,52.294021489348914,-7116.980739312419,49.03545700857283,SP000004,5
