E_elec_eV,H_eV,S_eV_per_K,TS_eV,G_eV,thermal_corr_eV,ZPE_eV,n_vib_modes,n_imag_freqs,geometry_model,symmetrynumber,temperature_K,pressure_Pa,E_elec_hartree,H_hartree,G_hartree,E_elec_kcal_mol,H_kcal_mol,TS_kcal_mol,thermal_corr_kcal_mol,G_kcal_mol,ZPE_kcal_mol,species_id,conformer_id,boltzmann_weight
-210.7659849990792,-209.67156219206203,0.0026431323790828,0.7880499188235555,-210.4596121108856,1.0944228070171675,0.9887033938616956,15,3,nonlinear,1,298.15,101325.0,-7.745507086400428,-7.70528779006897,-7.734248090426315,-4860.379078138799,-4835.141088650659,18.17286284594604,25.23798948813973,-4853.313951496605,22.800041904442992,SP000001,0,0.16671688605457421
-210.7659838553483,-209.67155285256047,0.0026431273096844,0.7880484073824265,-210.45960125994296,1.0944310027877862,0.9887117672408736,15,3,nonlinear,1,298.15,101325.0,-7.745507044369093,-7.70528744684862,-7.734247691661529,-4860.379051763738,-4835.140873276638,18.1728279912856,25.23817848710009,-4853.313701267924,22.800234999154032,SP000001,1,0.16664649010336952
-210.7659842518018,-209.6715546389896,0.002643128135512,0.7880486536029284,-210.45960329259256,1.0944296128121778,0.9886563433376894,15,3,nonlinear,1,298.15,101325.0,-7.74550705893849,-7.705287512498678,-7.734247766360024,-4860.3790609061725,-4835.140914472671,18.17283366926526,25.23814643350109,-4853.313748141937,22.798956893583696,SP000001,2,0.16665967474092802
-210.76598391227364,-209.67154978167832,0.0026431271907734,0.7880483719291117,-210.45959815360743,1.0944341305953174,0.9887068857557462,15,3,nonlinear,1,298.15,101325.0,-7.745507046461061,-7.705287333995781,-7.734247577505804,-4860.379053076467,-4835.140802460412,18.172827173712736,25.238250616055268,-4853.3136296341245,22.80012242943277,SP000001,3,0.1666263430925853
-210.76598470126012,-209.67156059461485,0.0026431294439225,0.7880490437054936,-210.45960963832036,1.094424106645306,0.988631279443303,15,3,nonlinear,1,298.15,101325.0,-7.74550707545578,-7.705287731363868,-7.734247999561219,-4860.379071270928,-4835.141051812651,18.17284266524412,25.23801945827658,-4853.313894477896,22.798378906448377,SP000001,4,0.16670084256680842
-210.76598464222656,-209.6715536081871,0.0026431264679356,0.7880481564150065,-210.45960176460213,1.0944310340394736,0.9886967759880714,15,3,nonlinear,1,298.15,101325.0,-7.745507073286337,-7.705287474617385,-7.734247710207411,-4860.379069909582,-4835.1408907018,18.1728222038394,25.238179207781123,-4853.31371290564,22.79988929265175,SP000001,5,0.16664976344173446
