E_elec_eV,H_eV,S_eV_per_K,TS_eV,G_eV,thermal_corr_eV,ZPE_eV,n_vib_modes,n_imag_freqs,geometry_model,symmetrynumber,temperature_K,pressure_Pa,E_elec_hartree,H_hartree,G_hartree,E_elec_kcal_mol,H_kcal_mol,TS_kcal_mol,thermal_corr_kcal_mol,G_kcal_mol,ZPE_kcal_mol,species_id,conformer_id
-210.76598494441885,-209.6715704338928,0.0026431326946819694,0.7880500129194291,-210.45962044681224,1.094414510526036,0.988468687578814,15,3,nonlinear,1,298.15,101325.0,-7.745507084391698,-7.705288092950664,-7.734248396765969,-4860.379076878301,-4835.1412787117915,18.17286501584844,25.23779816650917,-4853.31414372764,22.79462944898046,SP000001,0
-210.76598424848973,-209.67150918743528,0.002643113168469342,0.7880441911791343,-210.4595533786144,1.0944750610544531,0.9885724177279456,15,3,nonlinear,1,298.15,101325.0,-7.7455070588167745,-7.705285842184865,-7.73424593205516,-4860.379060829794,-4835.139866334928,18.172730763327912,25.2391944948659,-4853.312597098256,22.797021523045984,SP000001,1
-210.76598496286604,-209.6715814830953,0.0026431223463805682,0.7880469275733664,-210.45962841066867,1.0944034797707332,0.9881603562778775,15,3,nonlinear,1,298.15,101325.0,-7.74550708506962,-7.705288499001367,-7.734248689432295,-4860.3790773037035,-4835.141533512455,18.172793866077985,25.237543791248896,-4853.314327378533,22.787519160267536,SP000001,2
-210.76598481596287,-209.6716495408106,0.0026431188213526372,0.7880458765862888,-210.4596954173969,1.0943352751522752,0.9877455351739522,15,3,nonlinear,1,298.15,101325.0,-7.745507079671027,-7.705291000076272,-7.734251151884139,-4860.379073916036,-4835.143102960653,18.172769629740213,25.23597095538268,-4853.315872590393,22.777953158359317,SP000001,3
-210.76598434942488,-209.6716293111996,0.002643132800426532,0.7880500444471705,-210.45967935564678,1.0943550382252738,0.98797624408367,15,3,nonlinear,1,298.15,101325.0,-7.745507062526073,-7.705290256651781,-7.73425056162571,-4860.379063157414,-4835.1426364547415,18.17286574289543,25.236426702672844,-4853.315502197637,22.783273432206812,SP000001,4
-210.76598455268223,-209.67156803907872,0.002643124949363832,0.7880477036528265,-210.45961574273156,1.0944165136035053,0.9882354666553204,15,3,nonlinear,1,298.15,101325.0,-7.745507069995642,-7.70528800494287,-7.734248223894193,-4860.37906784464,-4835.141223486067,18.172811762895495,25.237844358572957,-4853.314035248963,22.789251246719132,SP000001,5
