E_elec_eV,H_eV,S_eV_per_K,TS_eV,G_eV,thermal_corr_eV,ZPE_eV,n_vib_modes,n_imag_freqs,geometry_model,symmetrynumber,temperature_K,pressure_Pa,E_elec_hartree,H_hartree,G_hartree,E_elec_kcal_mol,H_kcal_mol,TS_kcal_mol,thermal_corr_kcal_mol,G_kcal_mol,ZPE_kcal_mol,species_id,conformer_id,boltzmann_weight
-281.81972756735524,-280.2101793252836,0.0027314033036865,0.8143678949941459,-281.0245472202777,1.6095482420716394,1.4764941744592444,21,4,nonlinear,1,298.15,101325.0,-10.356683963828056,-10.297534156922907,-10.327461625065556,-6498.91730717902,-6461.800242957038,18.77976979423304,37.11706422198181,-6480.58001275127,34.048764531747764,SP000006,0,0.16616644938672262
-281.8197260010027,-280.2102743115482,0.0027314680445558,0.8143871974843174,-281.0246615090325,1.609451689454545,1.4763806617678252,21,4,nonlinear,1,298.15,101325.0,-10.356683906265664,-10.297537647603743,-10.327465825099829,-6498.917271058072,-6461.802433392335,18.78021492023089,37.11483766573714,-6480.582648312567,34.04614686689791,SP000006,1,0.16690725705830148
-281.81972680684066,-280.21018985932454,0.002731550297516,0.8144117212044161,-281.0246015805289,1.6095369475161192,1.476489642929493,21,4,nonlinear,1,298.15,101325.0,-10.35668393587966,-10.29753454404177,-10.327463622767942,-6498.917289641137,-6461.800485877793,18.780780450651207,37.116803763344016,-6480.581266328444,34.04866003218918,SP000006,2,0.16651839588430448
-281.819727818105,-280.2102702874944,0.0027314329705751,0.8143767401769766,-281.02464702767134,1.609457530610598,1.476391741011029,21,4,nonlinear,1,298.15,101325.0,-10.35668397304294,-10.297537499722496,-10.32746529291962,-6498.917312961446,-6461.80234059545,18.779973768994772,37.11497236599568,-6480.582314364445,34.04640236031574,SP000006,3,0.16681320797865173
-281.8197271014595,-280.21019331933314,0.0027316322010384,0.8144361407396062,-281.0246294600728,1.6095337821263342,1.4764484805554692,21,4,nonlinear,1,298.15,101325.0,-10.356683946706704,-10.29753467119474,-10.327464647322278,-6498.917296435208,-6461.800565667487,18.781343578510462,37.11673076772148,-6480.581909245997,34.04771080529419,SP000006,4,0.16669918649239898
-281.81972690166,-280.210264517196,0.0027314948263059,0.814395182463129,-281.0246596996591,1.6094623844639957,1.4764068226410334,21,4,nonlinear,1,298.15,101325.0,-10.356683939364206,-10.29753728766794,-10.32746575860658,-6498.917291827723,-6461.802207529208,18.780399058216695,37.11508429851412,-6480.582606587424,34.04675015096581,SP000006,5,0.16689550319962082
