E_elec_eV,H_eV,S_eV_per_K,TS_eV,G_eV,thermal_corr_eV,ZPE_eV,n_vib_modes,n_imag_freqs,geometry_model,symmetrynumber,temperature_K,pressure_Pa,E_elec_hartree,H_hartree,G_hartree,E_elec_kcal_mol,H_kcal_mol,TS_kcal_mol,thermal_corr_kcal_mol,G_kcal_mol,ZPE_kcal_mol,species_id,conformer_id
-281.8197275873249,-280.21020738564494,0.0027314873480167494,0.8143929528111937,-281.02460033845614,1.6095202016799703,1.4764324742211863,21,4,nonlinear,1,298.15,101325.0,-10.356683964561928,-10.297535188122165,-10.327463577122607,-6498.917307639531,-6461.800890044343,18.7803476412216,37.116417595188544,-6480.581237685565,34.04734169045686,SP000006,0
-281.8197252028303,-280.21021944774145,0.002731796104906621,0.814485008677909,-281.0247044564194,1.6095057550888328,1.4763766460098111,21,4,nonlinear,1,298.15,101325.0,-10.356683876933367,-10.297535631396036,-10.327467403387184,-6498.917252651779,-6461.801168202896,18.782470499939073,37.116084448882624,-6480.583638702836,34.04605426131815,SP000006,1
-281.819726750744,-280.21007824566533,0.0027309198811660933,0.8142237625696707,-281.024302008235,1.6096485050786669,1.4765998020225213,21,5,nonlinear,1,298.15,101325.0,-10.356683933818147,-10.297530442315448,-10.327452613689196,-6498.917288347517,-6461.797912005666,18.77644602156448,37.119376341851016,-6480.57435802723,34.05120036122294,SP000006,2
-281.81972606188157,-280.2100758940806,0.002731312840523471,0.8143409234020729,-281.0244168174827,1.6096501678009645,1.4765673767171084,21,4,nonlinear,1,298.15,101325.0,-10.35668390850292,-10.297530355896304,-10.327456832851228,-6498.917272461972,-6461.797857776834,18.77914781454397,37.11941468513809,-6480.577005591378,34.05045261591654,SP000006,3
-281.81972785428445,-280.21015404616514,0.0027311998240331977,0.8143072275354978,-281.02446127370064,1.6095738081193076,1.4765125316343128,21,4,nonlinear,1,298.15,101325.0,-10.35668397437251,-10.297533227932439,-10.327458466587105,-6498.917313795764,-6461.799660006717,18.77837076940112,37.11765378904691,-6480.578030776119,34.04918785826146,SP000006,4
-281.81972628564677,-280.21024905902374,0.0027312625518471677,0.814325929833233,-281.02457498885695,1.609477226623028,1.4763848993756088,21,4,nonlinear,1,298.15,101325.0,-10.356683916726139,-10.297536719590589,-10.32746264554202,-6498.91727762212,-6461.801851055287,18.778802054632585,37.1154265668324,-6480.58065310992,34.04624458845489,SP000006,5
