E_elec_eV,H_eV,S_eV_per_K,TS_eV,G_eV,thermal_corr_eV,ZPE_eV,n_vib_modes,n_imag_freqs,geometry_model,symmetrynumber,temperature_K,pressure_Pa,E_elec_hartree,H_hartree,G_hartree,E_elec_kcal_mol,H_kcal_mol,TS_kcal_mol,thermal_corr_kcal_mol,G_kcal_mol,ZPE_kcal_mol,species_id,conformer_id
-215.65416909422203,-214.67339700423375,0.0037111565106611993,1.1064813136536364,-215.77987831788738,0.9807720899882781,0.8109967943885514,15,5,nonlinear,1,298.15,101325.0,-7.9251445385667445,-7.889101829050875,-7.929764267327674,-4973.103281269711,-4950.486139577601,25.51606525719586,22.617141692110877,-4976.0022048347955,18.702030367475896,SP000002,0
-215.6309267081865,-214.65084842741524,0.004062795993531473,1.2113226254714087,-215.86217105288665,0.9800782807712665,0.8025747204123359,15,5,nonlinear,1,298.15,101325.0,-7.924290396634195,-7.88827318413677,-7.932788469558878,-4972.567299114841,-4949.966157043365,27.93376334299444,22.601142071476655,-4977.899920386359,18.507812727714366,SP000002,1
-215.5926796683471,-214.6124912443628,0.0036738592369243888,1.0953611314890064,-215.7078523758518,0.9801884239843162,0.8071605987618945,15,5,nonlinear,1,298.15,101325.0,-7.922884843844871,-7.886863583659024,-7.927117362778803,-4971.685301423245,-4949.081619388936,25.25962776450321,22.603682034309408,-4974.341247153438,18.613565594739764,SP000002,2
-215.66924250055476,-214.68864096498996,0.0038239001628565116,1.1400958335556688,-215.82873679854563,0.9806015355648015,0.8090807397361771,15,5,nonlinear,1,298.15,101325.0,-7.925698476032351,-7.889662034275938,-7.931559783374397,-4973.450882277418,-4950.8376736637465,26.291234501199973,22.613208613670572,-4977.128908164947,18.657845097518738,SP000002,3
-215.66492136036942,-214.68457318700933,0.0037308658089234867,1.1123576409305376,-215.79693082793986,0.9803481733600847,0.8109255500194378,15,5,nonlinear,1,298.15,101325.0,-7.925539677059514,-7.889512546192389,-7.930390935513497,-4973.351234417491,-4950.7438684750605,25.651576583433208,22.60736594243023,-4976.395445058493,18.70038743329429,SP000002,4
-215.6645741491541,-214.6847949677799,0.0037495376641563066,1.1179246545682027,-215.80271962234812,0.9797791813741981,0.8095915979908599,15,5,nonlinear,1,298.15,101325.0,-7.925526917282699,-7.88952069648538,-7.930603669784214,-4973.343227536652,-4950.748982861128,25.779954967698295,22.59424467552445,-4976.528937828826,18.669625768735518,SP000002,5
