conformer_id,relax_success,relax_method,ff_energy,error
0,True,MMFF94,0.005216883063870389,
1,True,MMFF94,0.0052168826119967406,
2,True,MMFF94,0.005216882604967447,
3,True,MMFF94,0.0052168827097488525,
4,True,MMFF94,0.0052168843437466845,
5,True,MMFF94,0.005216882616314326,
6,True,MMFF94,0.005216882656276946,
7,True,MMFF94,0.005216882823399826,
8,True,MMFF94,0.0052168826361483275,
9,True,MMFF94,0.005216883089220135,
10,True,MMFF94,0.0052168834130164,
11,True,MMFF94,0.005216882621452439,
12,True,MMFF94,0.0052168826539843284,
13,True,MMFF94,0.0052168829991603985,
14,True,MMFF94,0.0052168826028791675,
15,True,MMFF94,0.0052168826591895475,
16,True,MMFF94,0.005216882631464616,
17,True,MMFF94,0.005216882990244429,
18,True,MMFF94,0.00521688305749187,
19,True,MMFF94,0.005216882691249955,
