E_elec_eV,H_eV,S_eV_per_K,TS_eV,G_eV,thermal_corr_eV,ZPE_eV,n_vib_modes,n_imag_freqs,geometry_model,symmetrynumber,temperature_K,pressure_Pa,E_elec_hartree,H_hartree,G_hartree,E_elec_kcal_mol,H_kcal_mol,TS_kcal_mol,thermal_corr_kcal_mol,G_kcal_mol,ZPE_kcal_mol,species_id,conformer_id,boltzmann_weight
-223.8440421474132,-222.37866559689255,0.0024546902516872,0.731865898540559,-223.11053149543312,1.4653765505206309,1.3541258878358982,18,3,nonlinear,1,298.15,101325.0,-8.226116821976182,-8.17226522701245,-8.199160802707292,-5161.966240539524,-5128.173854506375,16.877228558893535,33.79238603314853,-5145.051083065269,31.226884805119187,SP000003,0,0.16758449405533754
-223.84404226616252,-222.37857348979003,0.0024544517146684,0.7317947787283905,-223.1103682685184,1.4654687763725178,1.3544159880071889,18,3,nonlinear,1,298.15,101325.0,-8.22611682634014,-8.172261842138864,-8.199154804228815,-5161.966243277949,-5128.171730466132,16.87558849706332,33.79451281181719,-5145.047318963195,31.23357467399491,SP000003,1,0.16652319173512606
-223.84404233385865,-222.3783676868764,0.0024542226719282,0.7317264896353961,-223.1100941765118,1.4656746469822508,1.3549698307836278,18,3,nonlinear,1,298.15,101325.0,-8.226116828827926,-8.172254279021287,-8.199144731533359,-5161.966244839058,-5128.166984538198,16.87401371316801,33.799260300859856,-5145.040998251367,31.24634659183162,SP000003,2,0.16475614135808359
-223.84404183142047,-222.3785388374506,0.0024543307073754,0.7317587004039823,-223.1102975378546,1.4655029939698636,1.3544619885620592,18,3,nonlinear,1,298.15,101325.0,-8.226116810363663,-8.172260568688879,-8.199152204924863,-5161.966233252559,-5128.170931364201,16.874756511137655,33.79530188835743,-5145.045687875338,31.23463547199073,SP000003,3,0.16606539031897932
-223.84404187143727,-222.3786292269493,0.0024546323738338,0.7318486422585561,-223.11047786920787,1.4654126444879694,1.3542191198628133,18,3,nonlinear,1,298.15,101325.0,-8.226116811834254,-8.172263890441688,-8.199158831979863,-5161.966234175368,-5128.173015795559,16.876830619577028,33.793218379808735,-5145.049846415136,31.22903478673521,SP000003,4,0.16723507206243335
-223.8440421872549,-222.37870833367063,0.002454675992654,0.7318616472097949,-223.11056998088048,1.4653338535842408,1.3538837921177052,18,4,nonlinear,1,298.15,101325.0,-8.226116823440337,-8.172266797560077,-8.199162217021396,-5161.966241458295,-5128.174840039891,16.877130520877103,33.79140141840469,-5145.051970560768,31.22130194523021,SP000003,5,0.16783571047004014
