E_elec_eV,H_eV,S_eV_per_K,TS_eV,G_eV,thermal_corr_eV,ZPE_eV,n_vib_modes,n_imag_freqs,geometry_model,symmetrynumber,temperature_K,pressure_Pa,E_elec_hartree,H_hartree,G_hartree,E_elec_kcal_mol,H_kcal_mol,TS_kcal_mol,thermal_corr_kcal_mol,G_kcal_mol,ZPE_kcal_mol,species_id,conformer_id
-223.84404230174246,-222.3786146787812,0.002454480196666755,0.731803270636193,-223.11041794941738,1.465427622961272,1.354279756898965,18,3,nonlinear,1,298.15,101325.0,-8.226116827647678,-8.17226335580637,-8.199156629968178,-5161.966244098441,-5128.172680306832,16.87578432510937,33.79356379160876,-5145.048464631942,31.230433110007695,SP000003,0
-223.84404194047377,-222.37864672452758,0.0024544683653912507,0.7317997431414014,-223.110446467669,1.465395215946188,1.3540649526417883,18,3,nonlinear,1,298.15,101325.0,-8.226116814371299,-8.172264533465828,-8.199157677994593,-5161.966235767388,-5128.1734192993,16.875702979147007,33.79281646808737,-5145.049122278448,31.22547960616085,SP000003,1
-223.84404216916226,-222.37865716835955,0.0024544781029277964,0.7318026463879225,-223.1104598147475,1.465385000802712,1.3541164204743852,18,3,nonlinear,1,298.15,101325.0,-8.226116822775445,-8.172264917269574,-8.199158168490682,-5161.966241041069,-5128.173660139787,16.87576992960227,33.79258090128265,-5145.049430069389,31.22666648257619,SP000003,2
-223.84404207602492,-222.3786339458264,0.002454467257442184,0.731799412806387,-223.1104333586328,1.4654081301985116,1.354108814916763,18,3,nonlinear,1,298.15,101325.0,-8.226116819352711,-8.172264063857222,-8.1991571962464,-5161.966238893271,-5128.17312461545,16.87569536144061,33.79311427782078,-5145.0488199768915,31.226491094250864,SP000003,3
-223.84404190416487,-222.37859595693476,0.002454448859916734,0.7317939275841742,-223.11038988451892,1.4654459472301085,1.3542781583623562,18,3,nonlinear,1,298.15,101325.0,-8.22611681303697,-8.172262667791204,-8.199155598602182,-5161.966234930084,-5128.172248570798,16.875568869211406,33.79398635928673,-5145.047817440009,31.230396246877767,SP000003,4
-223.84404236667228,-222.3786152661847,0.002454405987795903,0.7317811452613484,-223.11039641144606,1.4654271004875739,1.354166013501811,18,3,nonlinear,1,298.15,101325.0,-8.226116830033805,-8.172263377393051,-8.19915583846233,-5161.966245595759,-5128.17269385268,16.875274101844496,33.79355174307906,-5145.047967954524,31.227810124957205,SP000003,5
