conformer_id,relax_success,relax_method,ff_energy,error
0,True,MMFF94,0.6657707208216894,
1,True,MMFF94,0.6657707214940907,
2,True,MMFF94,0.6657707216528566,
3,True,MMFF94,0.6657707216902227,
4,True,MMFF94,0.6657707206456117,
5,True,MMFF94,0.6657707210958441,
6,True,MMFF94,0.6657707206084029,
7,True,MMFF94,0.6657707206544038,
8,True,MMFF94,0.6657707206117793,
9,True,MMFF94,0.6657707206031613,
10,True,MMFF94,0.6657707212857499,
11,True,MMFF94,0.6657707206258909,
12,True,MMFF94,0.6657707206181998,
13,True,MMFF94,0.6657707209879739,
14,True,MMFF94,0.6657707215451891,
15,True,MMFF94,0.6657707206110958,
16,True,MMFF94,0.6657707207343131,
17,True,MMFF94,0.665770721002009,
18,True,MMFF94,0.6657707206228045,
19,True,MMFF94,0.6657707207218126,
